society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,EA015code,EA015code_label,focal_year,sub_case,comment
Sa1,Guna,xd1309,bord1248,Border Kuna,Chibchan,EA015,1,Demes,1940,San Blas Archipelago,
Sa12,Lenca,xd1312,lenc1242,Lenca-Honduras,Lencan,EA015,1,Demes,1948,,
Sa4,Emberá,xd1320,nort2972,Northern Emberá,Chocoan,EA015,1,Demes,1960,with special reference to those of Panama,But local exogamy occurs in default of marriageable persons within the local community
Sb5,Paraujano,xd1330,para1316,Paraujano,Arawakan,EA015,1,Demes,1950,,
Sc1,Warao,xd1335,wara1303,Warao,,EA015,1,Demes,1950,,
Sc13,Panare,xd1339,enap1235,Panare,Cariban,EA015,1,Demes,1950,,
Sc2,Pumé,xd1345,pume1238,Pumé,,EA015,1,Demes,1950,,
Sc9,Curripaco,xd1352,curr1243,Curripaco,Arawakan,EA015,1,Demes,1950,,
Sd2,Tapirapé,xd1354,tapi1254,Tapirapé,Tupian,EA015,1,Demes,1930,,
Sd6,Shiriana,xd1358,nina1238,Ninam,Yanomamic,EA015,1,Demes,1960,,
Sf1,Inca,xd1374,cusc1236,Cusco Quechua,Quechuan,EA015,1,Demes,1530,City and environs of Cuzco,
Sf2,Aymara,xd1375,cent2142,Central Aymara,Aymaran,EA015,1,Demes,1940,Chucuito Clan community in Peru,
Sf3,Chachi,xd1376,chac1249,Cha'palaa,Barbacoan,EA015,1,Demes,1910,Rio Cayapas Basin,
Sf4,U'wa,xd1377,cent2150,Central Tunebo,Chibchan,EA015,1,Demes,1950,,
Sf9,Uru,xd1382,uruu1244,Uru,Uru-Chipaya,EA015,1,Demes,1930,with special reference to those just south of Lake Titicaca in Bolivia across the Desaguadero River from Peru,
Sh2,Terena,xd1389,tere1279,Terena-Kinikinao-Chane,Arawakan,EA015,1,Demes,1850,,
Si3,Bacairi,xd1400,baka1277,Bakairí,Cariban,EA015,1,Demes,1940,Simao Lopes,
Si8,Umotina,xd1405,umot1240,Umotína,Bororoan,EA015,1,Demes,1940,,
Sj1,Carajá,xd1407,kara1500,Karajá,Nuclear-Macro-Je,EA015,1,Demes,1950,,
Sj3,Aweikoma,xd1411,xokl1240,Xokleng,Nuclear-Macro-Je,EA015,1,Demes,1910,Duque de Caxias Reservation,
Sj6,Tenetehara,xd1414,temb1276,Tenetehara,Tupian,EA015,1,Demes,1930,with special reference to the Guajajara subgroup,
Sj9,Kayapo,xd1417,kaya1330,Kayapó,Nuclear-Macro-Je,EA015,1,Demes,1950,,
ch12,Bashkir,xd549,bash1264,Bashkir,Turkic,EA015,1,Demes,1899,with special reference to the Birskij Uezd Bashkir,
ch17,Gagauz,xd554,gaga1249,Gagauz,Turkic,EA015,1,Demes,1894,with special reference to those of the Benderskij Uezd,
ch22,Lithuanian Karaim,xd560,kara1464,Karaim,Turkic,EA015,1,Demes,1895,with special reference to those of the Trakaj area,
ch23,Lithuanian Tatar,xd561,west2405,Western Tatar,Turkic,EA015,1,Demes,1905,with special reference to those of the Vilenskaja Gubernija,
ec12,Nganasan,xd620,ngan1291,Nganasan,Uralic,EA015,1,Demes,1930,Avam (Western) group,
ec14,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,EA015,1,Demes,1880,those of South-Eastern Chukotka,
