uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
3d100820-9fe2-4975-a718-27f04254d332,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,164,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"421,578,627,682,684,685,754",https://ehrafworldcultures.yale.edu/sres/3d100820-9fe2-4975-a718-27f04254d332
cc54674d-2ab4-4556-bd5f-58c91cfc692f,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,313,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,161,166,464,465,648,696,797",https://ehrafworldcultures.yale.edu/sres/cc54674d-2ab4-4556-bd5f-58c91cfc692f
57e0a004-28c2-4ca8-81ea-92b3fc57dbb1,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,321,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"625,648,696,793,797",https://ehrafworldcultures.yale.edu/sres/57e0a004-28c2-4ca8-81ea-92b3fc57dbb1
5c68cf85-8422-40bc-8721-0cf5699d9b77,"Reed, Richard K., 1954-","Prophets of agroforestry: Guarani communities and commercial
         gathering",1995,144,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"185,314,626,824",https://ehrafworldcultures.yale.edu/sres/5c68cf85-8422-40bc-8721-0cf5699d9b77
ff683ffd-ed1b-4607-a81d-7e0a9db6f817,"Schaden, Egon",Fundamental aspects of Guaraní culture,1962,104,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"178,626,846",https://ehrafworldcultures.yale.edu/sres/ff683ffd-ed1b-4607-a81d-7e0a9db6f817
0677b756-0073-4f11-8801-a10e6c663c52,"Reed, Richard K., 1954-",Culture summary: Guaraní,1998,5,Manuscript,Guaraní,South America,Eastern South America,other subsistence combinations,,"622,626",https://ehrafworldcultures.yale.edu/sres/0677b756-0073-4f11-8801-a10e6c663c52
d7c230ad-7e64-4b64-88d8-06d109c7e990,"Reed, Richard K., 1954-",Culture summary: Guaraní,1998,6,Manuscript,Guaraní,South America,Eastern South America,other subsistence combinations,,"626,756,771",https://ehrafworldcultures.yale.edu/sres/d7c230ad-7e64-4b64-88d8-06d109c7e990
4e90dbe7-940c-4794-9347-1ecf10e2fbaa,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,97,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"626,756,797",https://ehrafworldcultures.yale.edu/sres/4e90dbe7-940c-4794-9347-1ecf10e2fbaa
49e0045c-1365-49b5-a28a-70b8c12ab99f,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,124,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,177,626,775,776,782,796,797",https://ehrafworldcultures.yale.edu/sres/49e0045c-1365-49b5-a28a-70b8c12ab99f
10f25b2f-9c20-4617-87b6-4ca126d459ba,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,126,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,626,785,788,796,797",https://ehrafworldcultures.yale.edu/sres/10f25b2f-9c20-4617-87b6-4ca126d459ba
0f4231e4-f6c5-4ba5-8861-7212b995a77c,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,166,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,578,626,754,797",https://ehrafworldcultures.yale.edu/sres/0f4231e4-f6c5-4ba5-8861-7212b995a77c
fc9a0f6b-b3fc-4a4d-a471-5eea90f14465,"Reed, Richard K., 1954-","Prophets of agroforestry: Guarani communities and commercial
         gathering",1995,177,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"159,624,625,681,692,697,701,714",https://ehrafworldcultures.yale.edu/sres/fc9a0f6b-b3fc-4a4d-a471-5eea90f14465
d2ef9669-6539-4191-b9a6-6fb5501ad032,"Reed, Richard K., 1954-","Prophets of agroforestry: Guarani communities and commercial
         gathering",1995,228,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"681,692,697",https://ehrafworldcultures.yale.edu/sres/d2ef9669-6539-4191-b9a6-6fb5501ad032
867ce464-c696-451f-9dd1-62af5b206ec0,"Schaden, Egon",Fundamental aspects of Guaraní culture,1962,87,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"184,582,684,825,836,848",https://ehrafworldcultures.yale.edu/sres/867ce464-c696-451f-9dd1-62af5b206ec0
b73d3f6c-9001-4418-842d-9d2a7e6e893a,"Métraux, Alfred, 1902-1963",The Guarani,1948,86,Essay,Guaraní,South America,Eastern South America,other subsistence combinations,,"682,685,695,756",https://ehrafworldcultures.yale.edu/sres/b73d3f6c-9001-4418-842d-9d2a7e6e893a
132c8680-dc0b-4b9b-b561-d4c7b1581f52,"Métraux, Alfred, 1902-1963",The Guarani,1948,92,Essay,Guaraní,South America,Eastern South America,other subsistence combinations,,"554,683,692,754,756",https://ehrafworldcultures.yale.edu/sres/132c8680-dc0b-4b9b-b561-d4c7b1581f52
06134b49-1705-49e8-aa7d-d6fb1adc71aa,"Watson, Virginia Drew",Notes on the kinship system of the Cayua Indians,1944,18,Journal Article,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,114,124,171,175,184,582,604,684",https://ehrafworldcultures.yale.edu/sres/06134b49-1705-49e8-aa7d-d6fb1adc71aa
d6d881e6-5940-412a-9a1f-b2e60690613d,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,43,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,554,586,592,595,622,631,684,797,831",https://ehrafworldcultures.yale.edu/sres/d6d881e6-5940-412a-9a1f-b2e60690613d
cf52e120-517a-482b-ada4-1d9fd2b54ecf,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,141,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,155,681,697,797",https://ehrafworldcultures.yale.edu/sres/cf52e120-517a-482b-ada4-1d9fd2b54ecf
e050dd52-573e-42ef-96f9-c6006cb61a56,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,142,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,624,625,681,797",https://ehrafworldcultures.yale.edu/sres/e050dd52-573e-42ef-96f9-c6006cb61a56
ac96d855-2af9-43f3-94bb-a2808f613ba9,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,160,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"682,754",https://ehrafworldcultures.yale.edu/sres/ac96d855-2af9-43f3-94bb-a2808f613ba9
beaed5be-f2fb-43c1-9946-a3f4ad51634d,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,163,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,171,683,754",https://ehrafworldcultures.yale.edu/sres/beaed5be-f2fb-43c1-9946-a3f4ad51634d
b135059e-a9ee-4453-8e10-4946d3210ee5,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,166,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,683,754",https://ehrafworldcultures.yale.edu/sres/b135059e-a9ee-4453-8e10-4946d3210ee5
2feed711-006a-4bdf-9a36-4d712342dea5,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,167,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,683,695,754,797",https://ehrafworldcultures.yale.edu/sres/2feed711-006a-4bdf-9a36-4d712342dea5
d071c2b9-576b-4995-ae6d-d513c0994bb5,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,224,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"674,682",https://ehrafworldcultures.yale.edu/sres/d071c2b9-576b-4995-ae6d-d513c0994bb5
17e234a6-0973-4c0d-bc3f-7103284e81d7,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,342,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,166,357,463,674,682,684",https://ehrafworldcultures.yale.edu/sres/17e234a6-0973-4c0d-bc3f-7103284e81d7
99ee53f3-541a-4a35-8355-e5aad6491e18,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,346,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,166,361,464,657,685,735",https://ehrafworldcultures.yale.edu/sres/99ee53f3-541a-4a35-8355-e5aad6491e18
3693e088-4b80-4fdc-930d-755c48372ea8,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,355,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,212,437,622,657,685,695,697,731",https://ehrafworldcultures.yale.edu/sres/3693e088-4b80-4fdc-930d-755c48372ea8
5ac03b8d-1ead-4655-ade6-f3fb6061986c,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,356,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"674,682",https://ehrafworldcultures.yale.edu/sres/5ac03b8d-1ead-4655-ade6-f3fb6061986c
96c7fb46-87e2-4725-a634-b6bbdd6df841,"Ganson, Barbara Anne","Better not take my manioc: Guarani religion, society, and
         politics in the Jesuit missions of Paraguay",1994,357,Monograph,Guaraní,South America,Eastern South America,other subsistence combinations,,"113,674,682",https://ehrafworldcultures.yale.edu/sres/96c7fb46-87e2-4725-a634-b6bbdd6df841
