uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
4d00bb09-186a-4f6a-884d-039c6faaedbd,"Rosman, Abraham","Social structure and acculturation among the Kanuri of
         northern Nigeria",1966,- 174 -,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"626,627,648,671,693,829",https://ehrafworldcultures.yale.edu/sres/4d00bb09-186a-4f6a-884d-039c6faaedbd
4a5ae951-e9c2-4371-9717-5d210b98a628,"Cohen, Ronald",The Kanuri of Bornu,1967,21,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"175,626,631,634,642,651,692,701,839",https://ehrafworldcultures.yale.edu/sres/4a5ae951-e9c2-4371-9717-5d210b98a628
1e68ea35-7b29-494d-81b4-f7978df76f59,"Cohen, Ronald",The Kanuri of Bornu,1967,48,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"571,626,867",https://ehrafworldcultures.yale.edu/sres/1e68ea35-7b29-494d-81b4-f7978df76f59
916a52c8-1a2c-48c7-a00c-dc808790ddae,"Cohen, Ronald",The Kanuri of Bornu,1967,96,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"182,571,593,626,632,660,873",https://ehrafworldcultures.yale.edu/sres/916a52c8-1a2c-48c7-a00c-dc808790ddae
617918ba-6cf5-44e2-a826-c5a28a5c690c,"Cohen, Ronald",The Kanuri of Bornu,1967,96,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"626,632,651,692",https://ehrafworldcultures.yale.edu/sres/617918ba-6cf5-44e2-a826-c5a28a5c690c
1c3d72ff-4a84-4004-96bd-b52d3d52c92f,"Cohen, Ronald","Dominance and defiance: a study of marital instability in an
         Islamic African society",1971,33,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"181,571,577,626",https://ehrafworldcultures.yale.edu/sres/1c3d72ff-4a84-4004-96bd-b52d3d52c92f
9ebb31f4-0af9-45fa-a510-eac7a0256f7f,"Rosman, Abraham","Social structure and acculturation among the Kanuri of
         northern Nigeria",1966,- 63 -,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"585,626",https://ehrafworldcultures.yale.edu/sres/9ebb31f4-0af9-45fa-a510-eac7a0256f7f
d3f59adf-3df7-4981-ae2b-1f700feb0492,"Rosman, Abraham","Social structure and acculturation among the Kanuri of
         northern Nigeria",1966,- 66 -,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"548,584,586,587,626,831,836",https://ehrafworldcultures.yale.edu/sres/d3f59adf-3df7-4981-ae2b-1f700feb0492
59148192-6866-4a87-a783-7c2a2b4d70b3,"Rosman, Abraham","Social structure and acculturation among the Kanuri of
         northern Nigeria",1966,- 71 -,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"586,626,692,695,779,784",https://ehrafworldcultures.yale.edu/sres/59148192-6866-4a87-a783-7c2a2b4d70b3
a0bc0039-75c9-4455-811f-91c4582a398b,"Rosman, Abraham","Social structure and acculturation among the Kanuri of
         northern Nigeria",1966,- 87 -,Monograph,Kanuri,Africa,Western Africa,intensive agriculturalists,,"464,567,571,583,586,592,626",https://ehrafworldcultures.yale.edu/sres/a0bc0039-75c9-4455-811f-91c4582a398b
