uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
ddbc0da2-d804-48c6-b022-d44bf3ce9eb8,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,463,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"626,627,682,754,765",https://ehrafworldcultures.yale.edu/sres/ddbc0da2-d804-48c6-b022-d44bf3ce9eb8
f52b2ea7-4d98-42a5-97a4-5dfe11b27ddc,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,464,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"621,626,627,754",https://ehrafworldcultures.yale.edu/sres/f52b2ea7-4d98-42a5-97a4-5dfe11b27ddc
e9a11dd7-a537-44e1-80ed-67e060caab4b,"Morton, John",Culture summary: Aranda,1996,6,Manuscript,Aranda,Oceania,Australia,hunter-gatherers,,"626,674,681,861",https://ehrafworldcultures.yale.edu/sres/e9a11dd7-a537-44e1-80ed-67e060caab4b
c35e04a5-9f13-452a-81c3-75a3aa124290,"Schulze, Louis Gustav, 1851-1924","The aborigines of the upper and middle Finke River: their
         habits and customs, with introductory notes on the physical and natural-history features of
         the country",1891,240,Journal Article,Aranda,Oceania,Australia,hunter-gatherers,,"627,682,754",https://ehrafworldcultures.yale.edu/sres/c35e04a5-9f13-452a-81c3-75a3aa124290
a9320447-8130-405d-ad52-1a28c70808ce,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"579,627,681,837",https://ehrafworldcultures.yale.edu/sres/a9320447-8130-405d-ad52-1a28c70808ce
3bedaf91-f2bf-4f18-8e25-680fa3349c19,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"579,627,681,837",https://ehrafworldcultures.yale.edu/sres/3bedaf91-f2bf-4f18-8e25-680fa3349c19
d27b1192-7c28-464d-bb34-e27be1a2d295,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,83-85,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"177,627,681,837",https://ehrafworldcultures.yale.edu/sres/d27b1192-7c28-464d-bb34-e27be1a2d295
0bed77fb-ac90-47f1-a9c7-f84eea95c05a,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,83-85,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"177,627,681,837",https://ehrafworldcultures.yale.edu/sres/0bed77fb-ac90-47f1-a9c7-f84eea95c05a
82b8aafa-a777-4750-903b-bcc82d840385,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,83-85,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"177,627,681,837",https://ehrafworldcultures.yale.edu/sres/82b8aafa-a777-4750-903b-bcc82d840385
dadd9996-8f95-4e3a-9423-dd7885fc7a83,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,83-85,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"177,627,681,837",https://ehrafworldcultures.yale.edu/sres/dadd9996-8f95-4e3a-9423-dd7885fc7a83
c7c82590-4d29-4a62-8d4e-8176f9d0ca2f,"Basedow, Herbert, 1881-",The Australian aboriginal,1925,223,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,684",https://ehrafworldcultures.yale.edu/sres/c7c82590-4d29-4a62-8d4e-8176f9d0ca2f
077b0376-964b-447c-83b5-81475fad759d,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,646,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"104,174,304,422,425,428,526,534,582,583,593,614,621,627,682,732,773,776,778,789,796,823,825,826,881",https://ehrafworldcultures.yale.edu/sres/077b0376-964b-447c-83b5-81475fad759d
e10f8ffd-2006-4e30-af54-2e24c1a8c895,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,443,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,628,681,721",https://ehrafworldcultures.yale.edu/sres/e10f8ffd-2006-4e30-af54-2e24c1a8c895
1be00a93-d728-427f-845d-12dce9f20d6d,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,453,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,683,721,726",https://ehrafworldcultures.yale.edu/sres/1be00a93-d728-427f-845d-12dce9f20d6d
28b114ca-28b8-4203-9681-537c98fd209a,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,457,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"304,623,627,682,754,756",https://ehrafworldcultures.yale.edu/sres/28b114ca-28b8-4203-9681-537c98fd209a
27ec30d9-16b9-4f2a-8917-cf20853cd5bb,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,461,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"301,627,682,753,754,755,778",https://ehrafworldcultures.yale.edu/sres/27ec30d9-16b9-4f2a-8917-cf20853cd5bb
1d2c627c-7d3f-41b6-92fe-680a8dfe86a0,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,467,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"578,579,587,602,617,627,684",https://ehrafworldcultures.yale.edu/sres/1d2c627c-7d3f-41b6-92fe-680a8dfe86a0
14683b68-0c8a-48d7-94a5-2bb27279abff,"Schulze, Louis Gustav, 1851-1924","The aborigines of the upper and middle Finke River: their
         habits and customs, with introductory notes on the physical and natural-history features of
         the country",1891,241-242,Journal Article,Aranda,Oceania,Australia,hunter-gatherers,,"183,587,595,626",https://ehrafworldcultures.yale.edu/sres/14683b68-0c8a-48d7-94a5-2bb27279abff
77a27884-7882-434c-bbf5-a9db82406fd0,"Schulze, Louis Gustav, 1851-1924","The aborigines of the upper and middle Finke River: their
         habits and customs, with introductory notes on the physical and natural-history features of
         the country",1891,242-243,Journal Article,Aranda,Oceania,Australia,hunter-gatherers,,"626,778",https://ehrafworldcultures.yale.edu/sres/77a27884-7882-434c-bbf5-a9db82406fd0
60a23096-e70c-4dd1-9879-4f2a170d560f,"Schulze, Louis Gustav, 1851-1924","The aborigines of the upper and middle Finke River: their
         habits and customs, with introductory notes on the physical and natural-history features of
         the country",1891,246 [3],Journal Article,Aranda,Oceania,Australia,hunter-gatherers,,"626,789,881",https://ehrafworldcultures.yale.edu/sres/60a23096-e70c-4dd1-9879-4f2a170d560f
a20efa30-bfbd-4309-8df2-27c4607caf39,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,264,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"522,626,756,776,778,784,789,823,884",https://ehrafworldcultures.yale.edu/sres/a20efa30-bfbd-4309-8df2-27c4607caf39
61c92437-7fb4-46d1-bc67-18f9c234b190,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,425,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"626,776,784",https://ehrafworldcultures.yale.edu/sres/61c92437-7fb4-46d1-bc67-18f9c234b190
98d263d0-ceb9-43bb-844f-932f4046291c,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,442,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"152,183,304,626,765",https://ehrafworldcultures.yale.edu/sres/98d263d0-ceb9-43bb-844f-932f4046291c
5cfd7031-80d7-44bd-a47a-7ceef074475e,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,477,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"304,626,796,821",https://ehrafworldcultures.yale.edu/sres/5cfd7031-80d7-44bd-a47a-7ceef074475e
9167e290-32fe-4e4c-a0a4-ebceab2d8208,"Spencer, Baldwin Sir, 1860-",The Arunta: a study of a stone age people,1927,505,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"574,626,788,796",https://ehrafworldcultures.yale.edu/sres/9167e290-32fe-4e4c-a0a4-ebceab2d8208
48b2e80f-53dd-4e5c-b36e-2dc0ac3ce6ae,"Schulze, Louis Gustav, 1851-1924","The aborigines of the upper and middle Finke River: their
         habits and customs, with introductory notes on the physical and natural-history features of
         the country",1891,235-236,Journal Article,Aranda,Oceania,Australia,hunter-gatherers,,"177,627",https://ehrafworldcultures.yale.edu/sres/48b2e80f-53dd-4e5c-b36e-2dc0ac3ce6ae
26f680f3-de07-43a2-a4a5-5fd14a7da4d9,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/26f680f3-de07-43a2-a4a5-5fd14a7da4d9
fb9ecea3-39b8-42a0-8502-53d93df268dc,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/fb9ecea3-39b8-42a0-8502-53d93df268dc
226781b8-de06-4d27-81fd-a3fe4157c489,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/226781b8-de06-4d27-81fd-a3fe4157c489
9d5f6bb2-5717-44fb-b8f0-3a4a7517fc62,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/9d5f6bb2-5717-44fb-b8f0-3a4a7517fc62
3098a07a-251d-4df9-9bc2-f3bef44f47cd,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/3098a07a-251d-4df9-9bc2-f3bef44f47cd
30bdf7ab-e5b5-412f-80ca-ba200a720edf,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/30bdf7ab-e5b5-412f-80ca-ba200a720edf
81fa949f-44ff-4db6-9210-34ac36d759fd,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/81fa949f-44ff-4db6-9210-34ac36d759fd
a294c73d-a317-421c-a738-4e3d63bf5a0a,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/a294c73d-a317-421c-a738-4e3d63bf5a0a
a5c65606-6932-4548-991c-ca45c91646a7,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/a5c65606-6932-4548-991c-ca45c91646a7
1638c103-a648-49bd-b79b-f670f4952bcd,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/1638c103-a648-49bd-b79b-f670f4952bcd
523988de-1612-4f90-a0cb-8346fac4cd3a,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/523988de-1612-4f90-a0cb-8346fac4cd3a
91425748-42ff-448b-bee0-beb638475907,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/91425748-42ff-448b-bee0-beb638475907
74861110-c29f-4826-ab4d-adc150939c69,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/74861110-c29f-4826-ab4d-adc150939c69
9d4d886d-77e2-41b4-a4be-f4d08d336774,"Chewings, Charles","Back in the stone age: the Natives of central
         Australia",1936,78-83,"Component part(s), monograph",Aranda,Oceania,Australia,hunter-gatherers,,"627,837",https://ehrafworldcultures.yale.edu/sres/9d4d886d-77e2-41b4-a4be-f4d08d336774
