uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
59f8afa3-88c5-440a-ad2a-5450a95a40e1,"Arno, Andrew","The world of talk on a Fijian island: an ethnography of law
         and communication causation",1993,98,Monograph,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"121,152,626,627",https://ehrafworldcultures.yale.edu/sres/59f8afa3-88c5-440a-ad2a-5450a95a40e1
807c00fc-eebc-471a-8193-110e39c5c1a7,"Thompson, Laura",Fijian frontier,1940,73,Monograph,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"554,625,696",https://ehrafworldcultures.yale.edu/sres/807c00fc-eebc-471a-8193-110e39c5c1a7
bc02e0bc-3101-48f6-b158-7b63327ddd57,"Arno, Andrew","Personal names as narrative in Fiji: politics of the Lauan
         onomasticon",1994,31,Journal Article,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"551,626",https://ehrafworldcultures.yale.edu/sres/bc02e0bc-3101-48f6-b158-7b63327ddd57
df21a939-5bcb-49b4-abe2-deb60349a943,"Arno, Andrew","Personal names as narrative in Fiji: politics of the Lauan
         onomasticon",1994,31,Journal Article,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"551,553,626,753",https://ehrafworldcultures.yale.edu/sres/df21a939-5bcb-49b4-abe2-deb60349a943
7c10dfec-8fec-408d-8b7a-fa11633c195f,"Arno, Andrew","Personal names as narrative in Fiji: politics of the Lauan
         onomasticon",1994,32,Journal Article,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"551,626,784",https://ehrafworldcultures.yale.edu/sres/7c10dfec-8fec-408d-8b7a-fa11633c195f
a490ad5d-0ffc-4acb-b179-189f1947e3d8,"Arno, Andrew","The world of talk on a Fijian island: an ethnography of law
         and communication causation",1993,83,Monograph,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"521,626",https://ehrafworldcultures.yale.edu/sres/a490ad5d-0ffc-4acb-b179-189f1947e3d8
872172bb-fa95-48ca-89e9-bb4fa5e7a9e8,"Arno, Andrew","The world of talk on a Fijian island: an ethnography of law
         and communication causation",1993,84,Monograph,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"521,626",https://ehrafworldcultures.yale.edu/sres/872172bb-fa95-48ca-89e9-bb4fa5e7a9e8
a375ea09-e1e8-4cc1-ad80-cba506bbebfe,"Arno, Andrew","The world of talk on a Fijian island: an ethnography of law
         and communication causation",1993,84,Monograph,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"521,626",https://ehrafworldcultures.yale.edu/sres/a375ea09-e1e8-4cc1-ad80-cba506bbebfe
64523d20-5c14-41e1-bf9c-1b12d7fafebd,"Arno, Andrew","The world of talk on a Fijian island: an ethnography of law
         and communication causation",1993,84,Monograph,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"521,522,626",https://ehrafworldcultures.yale.edu/sres/64523d20-5c14-41e1-bf9c-1b12d7fafebd
a0f5bbbd-11f7-4703-9e3a-4a080e841f36,"Arno, Andrew","The world of talk on a Fijian island: an ethnography of law
         and communication causation",1993,95,Monograph,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"121,578,626",https://ehrafworldcultures.yale.edu/sres/a0f5bbbd-11f7-4703-9e3a-4a080e841f36
b45c5d79-6683-4866-8329-04afdd2f37ee,"Arno, Andrew","The world of talk on a Fijian island: an ethnography of law
         and communication causation",1993,104,Monograph,Lau Fijians,Oceania,Polynesia,other subsistence combinations,,"521,571,593,602,626",https://ehrafworldcultures.yale.edu/sres/b45c5d79-6683-4866-8329-04afdd2f37ee
