uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
4d0cb489-d0ce-4200-8a30-766725bf1cae,"Alvarsson, Jan-åke",Culture summary: Mataco,1997,5,Manuscript,Mataco,South America,Southern South America,primarily hunter-gatherers,,"626,627",https://ehrafworldcultures.yale.edu/sres/4d0cb489-d0ce-4200-8a30-766725bf1cae
fd503256-525a-4121-b205-952eb59b21fb,"Alvarsson, Jan-åke, 1952-","The Mataco of the Gran Chaco: an ethnographic account of
         change and continuity in Mataco socio-economic organization",1988,137,Monograph,Mataco,South America,Southern South America,primarily hunter-gatherers,,"622,623,626,685",https://ehrafworldcultures.yale.edu/sres/fd503256-525a-4121-b205-952eb59b21fb
ca09998d-eb4a-4a3d-8d5f-dcc29e0dcd41,"Alvarsson, Jan-åke, 1952-","The Mataco of the Gran Chaco: an ethnographic account of
         change and continuity in Mataco socio-economic organization",1988,138,Monograph,Mataco,South America,Southern South America,primarily hunter-gatherers,,"626,684",https://ehrafworldcultures.yale.edu/sres/ca09998d-eb4a-4a3d-8d5f-dcc29e0dcd41
c2847189-5d92-491e-800d-8f27cd33cd26,"Alvarsson, Jan-åke, 1952-","The Mataco of the Gran Chaco: an ethnographic account of
         change and continuity in Mataco socio-economic organization",1988,138,Monograph,Mataco,South America,Southern South America,primarily hunter-gatherers,,"626,684,839",https://ehrafworldcultures.yale.edu/sres/c2847189-5d92-491e-800d-8f27cd33cd26
42f2a92f-cd9e-4573-a60b-6b88268f504e,"Métraux, Alfred, 1902-1963","Report on the ethnography of the Mataco Indians of the
         Argentine Gran Chaco",1944,7,Journal Article,Mataco,South America,Southern South America,primarily hunter-gatherers,,"622,627,648,682",https://ehrafworldcultures.yale.edu/sres/42f2a92f-cd9e-4573-a60b-6b88268f504e
c1d2d1b8-91cf-49ae-8114-4d7b36d17da6,"Alvarsson, Jan-åke, 1952-","The Mataco of the Gran Chaco: an ethnographic account of
         change and continuity in Mataco socio-economic organization",1988,136,Monograph,Mataco,South America,Southern South America,primarily hunter-gatherers,,"577,627,673,689,692",https://ehrafworldcultures.yale.edu/sres/c1d2d1b8-91cf-49ae-8114-4d7b36d17da6
d4578c88-d079-498c-8675-ad8f69674f9e,"Alvarsson, Jan-åke, 1952-","The Mataco of the Gran Chaco: an ethnographic account of
         change and continuity in Mataco socio-economic organization",1988,151,Monograph,Mataco,South America,Southern South America,primarily hunter-gatherers,,"622,623,627,681",https://ehrafworldcultures.yale.edu/sres/d4578c88-d079-498c-8675-ad8f69674f9e
23d166fa-05ae-47f0-b628-f700a7eb6dac,"Alvarsson, Jan-åke, 1952-","The Mataco of the Gran Chaco: an ethnographic account of
         change and continuity in Mataco socio-economic organization",1988,152,Monograph,Mataco,South America,Southern South America,primarily hunter-gatherers,,"622,623,627,681",https://ehrafworldcultures.yale.edu/sres/23d166fa-05ae-47f0-b628-f700a7eb6dac
5461c923-c602-4bd2-84d6-f3628680ef86,"Pelleschi, Juan",The Mataco Indians and their language,1897,37,Monograph,Mataco,South America,Southern South America,primarily hunter-gatherers,,"222,262,626",https://ehrafworldcultures.yale.edu/sres/5461c923-c602-4bd2-84d6-f3628680ef86
0bf26e62-2cc4-4ecc-84e7-9555f962e345,"Métraux, Alfred, 1902-1963",Suicide among the Matako of the Gran Chaco,1943,207,Journal Article,Mataco,South America,Southern South America,primarily hunter-gatherers,,"626,762",https://ehrafworldcultures.yale.edu/sres/0bf26e62-2cc4-4ecc-84e7-9555f962e345
