uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
97afef1a-87a5-4bc9-a098-dcfc5935596a,"Lowie, Robert Harry, 1883-1957",The Bororo,1946,427,Monograph,Bororo,South America,Eastern South America,hunter-gatherers,,"622,626,627,683",https://ehrafworldcultures.yale.edu/sres/97afef1a-87a5-4bc9-a098-dcfc5935596a
135559ad-6a25-422b-869f-5a78252b4e22,"Colbacchini, Antonio, 1881-1960","The eastern Bororo Orarimogodogue of the eastern plateau of
         Mato Grosso",1942,228,"Component part(s), monograph",Bororo,South America,Eastern South America,hunter-gatherers,,"626,671,681",https://ehrafworldcultures.yale.edu/sres/135559ad-6a25-422b-869f-5a78252b4e22
3e56a3a8-effc-40b3-a6ad-f76fc840ba77,"Colbacchini, Antonio, 1881-1960","The eastern Bororo Orarimogodogue of the eastern plateau of
         Mato Grosso",1942,129,"Component part(s), monograph",Bororo,South America,Eastern South America,hunter-gatherers,,"627,672,683",https://ehrafworldcultures.yale.edu/sres/3e56a3a8-effc-40b3-a6ad-f76fc840ba77
d9037687-78fd-492c-9afd-8ff1333b087e,"Colbacchini, Antonio, 1881-1960","The eastern Bororo Orarimogodogue of the eastern plateau of
         Mato Grosso",1942,129,"Component part(s), monograph",Bororo,South America,Eastern South America,hunter-gatherers,,"627,685",https://ehrafworldcultures.yale.edu/sres/d9037687-78fd-492c-9afd-8ff1333b087e
38c51c62-6f1a-40bb-bc4a-2f6b30e11a76,"Cook, William Azel","Through the wilderness of Brazil by horse, canoe and
         float",1909,389,"Component part(s), monograph",Bororo,South America,Eastern South America,hunter-gatherers,,"548,562,589,593,626,839",https://ehrafworldcultures.yale.edu/sres/38c51c62-6f1a-40bb-bc4a-2f6b30e11a76
64afcc9e-aa79-4626-93d9-836044733441,"Levak, Zarko David, 1934- .","Kinship system and social structure of the Bororo of
         Pobojari",1973,114,Monograph,Bororo,South America,Eastern South America,hunter-gatherers,,"124,181,626,773",https://ehrafworldcultures.yale.edu/sres/64afcc9e-aa79-4626-93d9-836044733441
a82067e6-2252-4266-8ef9-8aef323ff2e6,"Levak, Zarko David, 1934- .","Kinship system and social structure of the Bororo of
         Pobojari",1973,188,Monograph,Bororo,South America,Eastern South America,hunter-gatherers,,"177,178,361,551,613,626",https://ehrafworldcultures.yale.edu/sres/a82067e6-2252-4266-8ef9-8aef323ff2e6
1a15f377-43da-4f74-8802-f5ce76e921f4,"Levak, Zarko David, 1934- .","Kinship system and social structure of the Bororo of
         Pobojari",1973,189,Monograph,Bororo,South America,Eastern South America,hunter-gatherers,,"178,522,613,626",https://ehrafworldcultures.yale.edu/sres/1a15f377-43da-4f74-8802-f5ce76e921f4
4dc14aca-c820-43f4-a370-e7a0ac4364eb,"Lévi-Strauss, Claude","Contribution to the study of the social organization of the
         Bororo Indians",1938,[text continues on p. 27],Journal Article,Bororo,South America,Eastern South America,hunter-gatherers,,"424,614,626",https://ehrafworldcultures.yale.edu/sres/4dc14aca-c820-43f4-a370-e7a0ac4364eb
d7f93496-2720-44d8-8e05-2dbb617d4e05,"Colbacchini, Antonio, 1881-1960","The eastern Bororo Orarimogodogue of the eastern plateau of
         Mato Grosso",1942,227,"Component part(s), monograph",Bororo,South America,Eastern South America,hunter-gatherers,,"203,512,537,538,622,626",https://ehrafworldcultures.yale.edu/sres/d7f93496-2720-44d8-8e05-2dbb617d4e05
7875f2eb-b5eb-4df0-b0be-9afd8a9d4a73,"Colbacchini, Antonio, 1881-1960","The eastern Bororo Orarimogodogue of the eastern plateau of
         Mato Grosso",1942,235,"Component part(s), monograph",Bororo,South America,Eastern South America,hunter-gatherers,,"622,626",https://ehrafworldcultures.yale.edu/sres/7875f2eb-b5eb-4df0-b0be-9afd8a9d4a73
f63fe5c2-3270-4c60-a4b6-4ac67ddbd6da,"Colbacchini, Antonio, 1881-1960","The eastern Bororo Orarimogodogue of the eastern plateau of
         Mato Grosso",1942,260,"Component part(s), monograph",Bororo,South America,Eastern South America,hunter-gatherers,,"183,425,437,626",https://ehrafworldcultures.yale.edu/sres/f63fe5c2-3270-4c60-a4b6-4ac67ddbd6da
