uuid,title,text,region,subregion,subsistence,pubdate,pgno,owc_term,owc_id,original_pgno,author,docid,hl_ocm_terms,hl_ocms_id,hl_text,hl_title,hsla,lat,long,ocms_0_id,ocms_0_term,ocms_1_id,ocms_1_term,ocms_4_id,ocms_4_term,ocms_5_id,ocms_5_term,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5
"09776ef6-f22c-4285-889a-53a640e1912a","A history of the church in Korea: vol. 1","Koreans of both sexes are by nature extremely passionate, but genuine love is scarcely ever encountered in this country for their passion is purely physical, and the heart has nothing to do with it. They know only an animal appetite, a brute instinct which blindly seizes the first object in its ken as a means toward satisfaction. Thus the corruption of morals surpasses anything one can imagine. It is so great that one may boldly affirm [CLV] that more than half the population do not know who their real parents are. Christian women on the point of being violated by pagans have several times halted them by the words “Do not come near me, I am your own daughter.” And the pagan retreated, knowing that the fact was, if not probable, at least quite possible. But how should it be otherwise in a land where no kind of religious restraint dominates the passions, and where the customs and even the necessities of material life often force the poor, that is to say half the population, to forget the laws of modesty? Indeed, the houses of the poor are but miserable huts of earth. They have not sufficient means to have two rooms, or if they have two they cannot heat both of them during the winter. Thus father, mother, brothers and sisters all sleep together under the same coverlet, if they have one, and if they do not they lie close to one another to keep warm.","Asia","East Asia","intensive agriculturalists","1874","153","Korea","aa01","152","Dallet, Charles","aa01-049","Social Control","626","","","hsla(331.02,95.43%,90.00%,0.840)","37.6","126.42","342","Dwellings","511","Standard of Living","","","","","PSF","PSF","","","",""
"0978f751-35d6-4fa7-97fb-bbe865b48f0d","The quest for order among Awlad Ali of the Western Desert of Egypt","If the woman kills or assaults someone or causes damage to property for which compensation is required, her male kin pays the blood money or the compensation on her behalf. It is sometimes stated that if the woman has grown-up sons, they, and not her family, pay for her. Since the children belong to their father’s family, it may seem like transfering the responsibility for the woman’s actions to her husband’s family. However, in all three cases where this happened, the woman was quite old, her father was dead, and her brothers were either dead or had moved outside the area and had cut off all relations with the area. She also had no nephews in the area. In such cases, the sons were the woman’s closest male kin.","Africa","Northern Africa","pastoralists","1971","137","Libyan Bedouin","mt09","128","Mohsen, Safia K., 1936-","mt09-002","Offenses Against Life","682","","","hsla(65.34,95.25%,83.10%,0.760)","25.4132","30.5302","562","Gender Status","593","Family Relationships","682","Offenses Against Life","683","Offenses Against the Person","PSF","","","","",""
"09792140-71c6-4d81-b3b2-9644f4b88f39","The Ifugao world","This election destroyed the cordial relations between the prominent Lumauig and Mondiguing families. While en route to Lagawe from Banaue on the night of July 23, 1970, Governor Lumauig and his party were ambushed. Lumauig was seriously wounded while his executive assistant Joaquin Dugyon, Sr. and his driver Jose Bacani died on the spot. The latest news about the governor’s ambush was published by the Baguio Midland Courier on May 18, 1975. It stated:","Asia","Southeast Asia","intensive agriculturalists","1979","95","Ifugao","oa19","79","Dumia, Mariano A., 1947-","oa19-034","Offenses Against Life","682","","","hsla(331.55,95.43%,80.75%,0.760)","16.83","121.17","635","Provinces","667","Political Machines","","","","","PSF","PSF","","","",""
"09819c76-8693-4784-9d9f-e5779a13be93","The Kuna gathering: contemporary village politics in Panama","Whatever the nature and context of a particular case, by bringing a woman into the gathering, adjudicators demonstrate control over her. In other contexts Kuna women assert themselves and speak freely, and in the household they enjoy considerable influence. But in an adjudication they find themselves out of their element, in a male institution. Even if a trouble case involves both males and females, men do the adjudicating, and women, whether they win or lose, often end up looking bad. They come across as shy and cowed or quietly sullen, or else as harsh, angry, and disputatious, blurting things out, talking on and on, interrupting, and refusing to cede the floor. Lacking the opportunity to gain confidence and master public-speaking style (young men also do badly at first), even notably self-confident women who speak well elsewhere seldom do well in the gathering house (cf. Sherzer 1983:71).","Middle America and the Caribbean","Central America","horticulturalists","1986","246","Kuna","sb05","230","Howe, James, 1944-","sb05-036","Informal in-Group Justice","627","","","hsla(274.28,95.42%,84.95%,0.800)","9.25","-78.5","157","Personality Traits","562","Gender Status","","","","","PSF","PSF","","","",""
"0986646f-b6ca-4cfa-8f63-49b52749a19a","The Bolivian Aymara","Trouble began when the persons from Llamacachi, having purchased such parcels of land between the road and the lake, started planting on the cattle tracks used by the Compe[unknown]nos for driving their cattle to the lake shore, in this way impeding free passage to the lake. A few ex- colonos who felt particularly aggravated began collecting signatures of all the local persons who desired land possessed by Llamacache[unknown]nos. The matter was then elevated to the community level. When some of the Llamacachi families refused to sell the land, it was decided to take the land by force.","South America","Central Andes","horticulturalists","1971","64","Aymara","sf05","52","Buechler, Hans C.","sf05-012","Informal in-Group Justice","627","","","hsla(354.88,95.38%,84.95%,0.800)","-16","-65.75","578","Ingroup Antagonisms","621","Community Structure","","","","","PSF","PSF","","","",""
"0990a819-b5c3-4445-86f3-889355f2e998","Kapauku Papuans and their law","a) Defendant: Do Ako of Buna, village headman. b) Plaintiff: Ij Eka of Aigi, headman of the confederacy. c) Denouncer: Pi Jun of Obaj.","Oceania","Melanesia","intensive agriculturalists","1958","195","Kapauku","oj29","195","Pospisil, Leopold J.","oj29-001","Property Offenses","685","","","hsla(242.29,95.34%,79.43%,0.760)","-4","136","685","Property Offenses","","","","","","","SCCS (entire)","PSF","EA (entire)","PSF","",""
"09a954c1-647f-48b3-aaca-86130b77da7f","Shifting cultivation in Africa: the Zande system of agriculture","The customary protection of deserted homesteads is in itself a masterpiece of social adaptation which deserves a short analysis. During the hunting and fishing period, it should be remembered, granaries are still full of food. All belongings, apart from arms and a few utensils carried away to the camps, are left at home. If a family were despoiled of its belongings during this period, it would have to face a disastrous situation during the meagre season of May and June. But practically no theft is ever committed. This contradicts the fact that the observer clerks, when they were first established on their survey points, were afraid of leaving their huts for a mornings’ work lest they be stripped of everything they possessed. The reason for this is probably that they were not at once accepted as members of the group and a ‘code of enmity’ was applied to them. But also it is likely that they did not know how to protect their homes by magic, whereas the local inhabitants know exactly how this is done [1] 1. See refs. 27, 28 and 29 of Chapter 1. On protective magic, see pp. 9-11, 357, 435 and following, on magic whistles, pp. 390, 408 and 447 of Witchcraft Amongst the Azande , by E. E. Evans-Pritchard. .","Africa","Central Africa","horticulturalists","1956","215","Azande","fo07","184","Schlippe, Pierre de, 1904-","fo07-060","Property Offenses","685","","","hsla(65.24,95.29%,83.89%,0.780)","5.08","28.25","609","Behavior Toward Non-Relatives","685","Property Offenses","","","","","PSF","PSF","","","",""
"09b7b377-d891-48f0-9b3a-45b2b5b193fd","The role of ambilineal descent groups in Gojjam Amhara social organization","The members of Musina had either to question the claimant’s credentials or to come to a compromise settlement with him as the members of Gubeno did with the priest discussed in the previous case. The claimant could easily prove that he was descended from Wäldä S[unknown]llase since he was already plowing land in one of Wäldä S[unknown]llase’s land sections in another maximal house in a nearby parish.","Africa","Eastern Africa","intensive agriculturalists","1963","74","Amhara","mp05","66","Hoben, Allan.","mp05-014","Informal in-Group Justice","627","","","hsla(65.25,95.28%,84.95%,0.800)","12.5","37.75","423","Real Property","425","Changes in Property Rights","627","Informal in-Group Justice","","","PSF","PSF","","","",""
"09bdf888-8197-49b6-a8de-0817a5caff96","Ashanti proverbs: (the primitive ethics of a savage people)","Now any one who thus ‘blessed’ the king was without exception and without possibility of pardon, killed. But a curious custom is in vogue. The curser is permitted to name (within reasonable limits) the day and manner of his death, and during this interval is granted absolute licence. He can demand any man's wife, money, and goods, to use and do as he likes with till the day of his death.","Africa","Western Africa","horticulturalists","1916","131","Akan","fe12","131","Rattray, R. S. (Robert Sutherland), 1881-1938","fe12-014","Offenses Against the State","687","","","hsla(65.27,95.38%,82.20%,0.830)","7","-1.5","538","Literature","643","Chief Executive","789","Magic","","","PSF","PSF","","","",""
"09c315dc-163b-4b3d-af9a-f0da90e67fa8","The Mayawyaw ritual: parts 1-5","On account of this are living Bugan and Wigan at Dukligan / and multiply their rice and their pigs and their chickens and their children.","Asia","Southeast Asia","intensive agriculturalists","1932","672","Ifugao","oa19","670","Lambrecht, Francis","oa19-009","Property Offenses","685","","","hsla(331.55,95.43%,80.75%,0.760)","16.83","121.17","538","Literature","539","Literary Texts","","","","","PSF","PSF","","","",""
