uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
8bce8bdf-4703-44a5-981c-62282aa15add,"Burling, Robbins, 1926-",Rengsanggri: family and kinship in a Garo village,1963,251,Monograph,Garo,Asia,South Asia,horticulturalists,,"602,627,671,695,696",https://ehrafworldcultures.yale.edu/sres/8bce8bdf-4703-44a5-981c-62282aa15add
db990165-a354-4678-81bb-56d905005c9e,"Burling, Robbins, 1926-",Rengsanggri: family and kinship in a Garo village,1963,252,Monograph,Garo,Asia,South Asia,horticulturalists,,"627,696",https://ehrafworldcultures.yale.edu/sres/db990165-a354-4678-81bb-56d905005c9e
0b0c116e-ce71-442a-b88c-1f9fb12be320,"Marak, Kumie R.",Traditions and modernity in matrilineal tribal society,1997,161,Monograph,Garo,Asia,South Asia,horticulturalists,,"177,178,428,592,614,626,671,681,691,797",https://ehrafworldcultures.yale.edu/sres/0b0c116e-ce71-442a-b88c-1f9fb12be320
114c4510-026c-43bc-8957-3df69acfd555,"Majumdar, Dhirendra Narayan",Culture change in two Garo villages,1978,84,Monograph,Garo,Asia,South Asia,horticulturalists,,"157,423,578,592,593,626,684,837",https://ehrafworldcultures.yale.edu/sres/114c4510-026c-43bc-8957-3df69acfd555
aaab1a62-017d-463a-8b97-1190d2566cf4,"Majumdar, Dhirendra Narayan",Culture change in two Garo villages,1978,135,Monograph,Garo,Asia,South Asia,horticulturalists,,"231,241,248,417,433,626,685,857",https://ehrafworldcultures.yale.edu/sres/aaab1a62-017d-463a-8b97-1190d2566cf4
7a62cab1-f355-424d-bfce-43f5ea9f0172,"Burling, Robbins, 1926-",Rengsanggri: family and kinship in a Garo village,1963,113,Monograph,Garo,Asia,South Asia,horticulturalists,,"602,626,684,861",https://ehrafworldcultures.yale.edu/sres/7a62cab1-f355-424d-bfce-43f5ea9f0172
2791f710-a0ac-4d55-8f45-5fd60530796b,"Sinha, Tarunchandra",The Psyche of the Garos,1966,[26],Monograph,Garo,Asia,South Asia,horticulturalists,,"183,423,428,582,586,591,593,604,626,681",https://ehrafworldcultures.yale.edu/sres/2791f710-a0ac-4d55-8f45-5fd60530796b
4b17d719-f538-458c-8aa2-976f06668c28,"Goswami, M. C.",A Study of social attitudes among the Garo,1968,67,Journal Article,Garo,Asia,South Asia,horticulturalists,,"431,622,626,673,681",https://ehrafworldcultures.yale.edu/sres/4b17d719-f538-458c-8aa2-976f06668c28
c59ae96d-370d-4be4-b07e-ac9ef30915fb,"Marak, Kumie R.",Traditions and modernity in matrilineal tribal society,1997,47,Monograph,Garo,Asia,South Asia,horticulturalists,,"614,627,628,682",https://ehrafworldcultures.yale.edu/sres/c59ae96d-370d-4be4-b07e-ac9ef30915fb
e6b3218b-0626-4931-8cf7-e516782753f7,"Marak, Kumie R.",Traditions and modernity in matrilineal tribal society,1997,53,Monograph,Garo,Asia,South Asia,horticulturalists,,"622,627,681",https://ehrafworldcultures.yale.edu/sres/e6b3218b-0626-4931-8cf7-e516782753f7
