id,name
SCCS150-SCCS18-1,Sedentary (1890) [City and environs of Abomey]
SCCS150-SCCS180-1,Nomadic (1932) [Duque de Caxias Reservation]
SCCS150-SCCS181-1,Seminomadic (1890) [S. Mato Grosso & adj. Paraguay]
SCCS150-SCCS182-1,Nomadic (1889) [Those in contact with mission]
SCCS150-SCCS183-1,Nomadic (1750) [Those in contact with mission]
SCCS150-SCCS184-1,Sedentary (1950) [Vicinity of Temuco]
SCCS150-SCCS185-1,Nomadic (1870) [Equestrian]
SCCS150-SCCS186-1,Nomadic (1865) [Eastern and central]
SCCS150-SCCS19-1,Sedentary (1895) [Kumasi State]
SCCS150-SCCS2-1,Nomadic (1950) [Nyai Nyae region]
SCCS150-SCCS20-1,Sedentary (1945) [Vicinity of town of Bo]
SCCS150-SCCS21-1,Sedentary (1950) [Upper and lower Salum in Gambia]
SCCS150-SCCS22-1,Sedentary (1902) [Segou to Bamako on Niger River]
SCCS150-SCCS23-1,Sedentary (1934) [Tribe]
SCCS150-SCCS24-1,Sedentary (1940) [Bamba division]
SCCS150-SCCS25-1,Nomadic (1951) [Wodaabe of Niger]
SCCS150-SCCS26-1,Sedentary (1900) [Zazzagawa of Zaria]
SCCS150-SCCS27-1,Sedentary (1910) [Around Yagoua in Cameroon]
SCCS150-SCCS28-1,Sedentary (1905) [Yambio Chiefdom]
SCCS150-SCCS29-1,Sedentary (1880) [Jebel Marra]
SCCS150-SCCS3-1,Sedentary; impermanent (1895) [Ronga subtribe]
SCCS150-SCCS30-1,Sedentary (1930) [Nuba Hills]
SCCS150-SCCS31-1,Sedentary (1910) [Kingdom]
SCCS150-SCCS32-1,Sedentary (1939) [Northern division]
SCCS150-SCCS33-1,Sedentary (1905) [Kingdom]
SCCS150-SCCS34-1,Nomadic (1900) [Kisonko or S. Masai of Tanzania]
SCCS150-SCCS35-1,Sedentary (1935) [Town of Buso]
SCCS150-SCCS36-1,Nomadic (1900) [Dolbahanta clan or subtribe]
SCCS150-SCCS37-1,Sedentary (1953) [Gondar district]
SCCS150-SCCS38-1,Semisedentary (1855) [Tribe]
SCCS150-SCCS39-1,Sedentary (1900) [Kenuzi Nubians of Dahmit]
SCCS150-SCCS4-1,Semisedentary (1900) [Ruling Luyana]
SCCS150-SCCS40-1,Nomadic (1950) [Nomads of Tibesti]
SCCS150-SCCS41-1,Nomadic (1900) [Ahaggaren tribe]
SCCS150-SCCS42-1,Sedentary (1926) [Entirety: Moroccan]
SCCS150-SCCS43-1,Sedentary (1950) [Town and environs of Silwa]
SCCS150-SCCS44-1,Sedentary (-621) [Kingdom of Judea]
SCCS150-SCCS45-1,Sedentary (-1750) [City and environs of Babylon]
SCCS150-SCCS46-1,Nomadic (1913) [Unspecified]
SCCS150-SCCS47-1,Sedentary (1950) [Northern Anatolian Plateau]
SCCS150-SCCS48-1,Semisedentary (1910) [Mountain Gheg of No. Albania]
SCCS150-SCCS49-1,Sedentary (110) [City and environs of Rome]
SCCS150-SCCS5-1,Sedentary (1890) [Bailundo subtribe]
SCCS150-SCCS50-1,Sedentary (1934) [Village of Vera de Bidasoa]
SCCS150-SCCS51-1,Sedentary (1932) [County Clare]
SCCS150-SCCS52-1,Nomadic (1950) [Konkama District]
SCCS150-SCCS53-1,Nomadic (1894) [Tribe]
SCCS150-SCCS54-1,Sedentary (1955) [Viriatino village]
SCCS150-SCCS55-1,Sedentary (1880) [Tribe]
SCCS150-SCCS56-1,Sedentary (1843) [Vicinity of Erevan]
SCCS150-SCCS57-1,Sedentary (1951) [Town and environs of Rowanduz]
SCCS150-SCCS58-1,Nomadic (1958) [Nomadic branch]
SCCS150-SCCS59-1,Sedentary (1950) [Mohla village]
SCCS150-SCCS6-1,Sedentary; impermanent (1920) [Feshi territory lineage center]
SCCS150-SCCS60-1,Sedentary; impermanent (1938) [Hill Maria]
SCCS150-SCCS61-1,Semisedentary (1900) [Tribe]
SCCS150-SCCS62-1,Sedentary (1940) [Bankura and Berghum Districts]
SCCS150-SCCS63-1,Sedentary (1945) [Village and environs of Senapur]
SCCS150-SCCS64-1,Sedentary (1934) [Hunza State]
SCCS150-SCCS65-1,Seminomadic (1885) [Great Horde]
SCCS150-SCCS66-1,Seminomadic (1920) [Narobanchin territory]
SCCS150-SCCS67-1,Sedentary (1910) [Liang Shan and Taliang Shan]
SCCS150-SCCS68-1,Sedentary (1937) [Lingthem and vicinity]
SCCS150-SCCS69-1,Sedentary (1955) [Rengsanggri village]
SCCS150-SCCS7-1,Sedentary; impermanent (1897) [Zambia branch]
SCCS150-SCCS70-1,Sedentary (1930) [Tribe]
SCCS150-SCCS71-1,Sedentary (1965) [Nondwin village]
SCCS150-SCCS72-1,"Semisedentary (1940) [Tribe, Northwestern Laos]"
SCCS150-SCCS73-1,Sedentary (1930) [Red River Delta in Tonkin]
SCCS150-SCCS74-1,Sedentary; impermanent (1962) [Ko-Sier village]
SCCS150-SCCS75-1,"Sedentary (1292) [City of Angkor, Capital]"
SCCS150-SCCS76-1,Sedentary (1955) [Bang Chan village]
SCCS150-SCCS77-1,Nomadic (1925) [Jehai Group or subtribe]
SCCS150-SCCS78-1,Sedentary (1870) [Car Nicobar of North Islands]
SCCS150-SCCS79-1,Seminomadic (1860) [Aka-Bea of South Andaman]
SCCS150-SCCS8-1,Sedentary; impermanent (1934) [Age villages of Mwaya and Masoko]
SCCS150-SCCS80-1,Seminomadic (1860) [Danigala Forest hunting group]
SCCS150-SCCS81-1,Semisedentary (1925) [Menabe subtribe]
SCCS150-SCCS82-1,Sedentary (1958) [Inas District]
SCCS150-SCCS83-1,Sedentary (1954) [Town and environs of Pare]
SCCS150-SCCS84-1,Sedentary (1958) [Tihingan village]
SCCS150-SCCS85-1,Sedentary; impermanent (1950) [Ulu Ai group]
SCCS150-SCCS86-1,Nomadic (1963) [Tawi-Tawi and adjacent islands]
SCCS150-SCCS87-1,Sedentary (1910) [Bare'e subgroup]
SCCS150-SCCS88-1,Sedentary (1900) [Tobelo District]
SCCS150-SCCS89-1,Sedentary (1938) [Abui of Atimelang village]
SCCS150-SCCS9-1,Nomadic (1930) [Tribe]
SCCS150-SCCS90-1,Nomadic (1929) [Tribe: Melville Island]
SCCS150-SCCS91-1,Nomadic (1896) [Alice Springs and environs]
SCCS150-SCCS92-1,Sedentary (1925) [Aiga subtribe]
SCCS150-SCCS93-1,Sedentary (1960) [Bamol village]
SCCS150-SCCS94-1,Sedentary (1955) [Botukebo village]
SCCS150-SCCS95-1,Sedentary (1937) [Hongwam subtribe]
SCCS150-SCCS96-1,Sedentary (1929) [Peri village]
SCCS150-SCCS97-1,Sedentary (1930) [Lesu village]
SCCS150-SCCS98-1,Sedentary (1914) [Kiriwina Island]
SCCS150-SCCS99-1,Sedentary (1939) [Northeastern group]
