uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
e845237c-83f4-47d0-a014-46e504f89b33,"Chagnon, Napoleon A., 1938-","Yanomamö warfare, social organization and marriage
         alliances",1967,88,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"578,583,584,591,602,606,613,621,626,627,628,835",https://ehrafworldcultures.yale.edu/sres/e845237c-83f4-47d0-a014-46e504f89b33
760a5203-0ad6-4b30-bfa2-f3034d0fafa2,"Hames, Raymond B.",Culture summary: Yanoama,1995,6,Manuscript,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"587,627,681",https://ehrafworldcultures.yale.edu/sres/760a5203-0ad6-4b30-bfa2-f3034d0fafa2
2b0af5c8-9028-41ec-8623-8911f8de00b7,"Early, John D.",The population dynamics of the Mucajai Yanomama,1990,66,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"166,178,181,582,583,606,696,758",https://ehrafworldcultures.yale.edu/sres/2b0af5c8-9028-41ec-8623-8911f8de00b7
919e0772-c692-4b0c-8eda-7784b986f8bc,"Early, John D.",The population dynamics of the Mucajai Yanomama,1990,68,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"166,696",https://ehrafworldcultures.yale.edu/sres/919e0772-c692-4b0c-8eda-7784b986f8bc
86ba90a7-716d-4377-ba06-b2ce988c4186,"Early, John D.",The population dynamics of the Mucajai Yanomama,1990,95,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"166,439,583,696,758,797",https://ehrafworldcultures.yale.edu/sres/86ba90a7-716d-4377-ba06-b2ce988c4186
dd6a922c-e9a1-466f-bff4-136c33aa7499,"Chagnon, Napoleon A., 1938-",Yanomamö: the fierce people,1968,135,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"142,156,291,302,626,628,703,714,721,726",https://ehrafworldcultures.yale.edu/sres/dd6a922c-e9a1-466f-bff4-136c33aa7499
ce562def-42fa-4cd7-8223-9a29a63d62aa,"Barker, James",Memoir on the culture of the Waica,1953,50,Journal Article,Yanoama,South America,Amazon and Orinoco,horticulturalists,,626,https://ehrafworldcultures.yale.edu/sres/ce562def-42fa-4cd7-8223-9a29a63d62aa
19374650-6ef4-47a6-b5ec-f13db08b105e,"Early, John D.",The population dynamics of the Mucajai Yanomama,1990,33,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"517,521,609,626,797",https://ehrafworldcultures.yale.edu/sres/19374650-6ef4-47a6-b5ec-f13db08b105e
f269a30a-17d5-4659-b45b-888e9dffef7f,"Chagnon, Napoleon A., 1938-",Yanomamö: the fierce people,1968,142,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"104,411,526,541,579,627",https://ehrafworldcultures.yale.edu/sres/f269a30a-17d5-4659-b45b-888e9dffef7f
7cad4547-f856-4830-9829-5ab32fe0fcb4,"Chagnon, Napoleon A., 1938-","Yanomamö warfare, social organization and marriage
         alliances",1967,43,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"241,437,527,574,578,602,621,622,627,701",https://ehrafworldcultures.yale.edu/sres/7cad4547-f856-4830-9829-5ab32fe0fcb4
9be7934a-a9e9-478b-a029-1ab22151e5c7,"Chagnon, Napoleon A., 1938-","Yanomamö warfare, social organization and marriage
         alliances",1967,61,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"115,164,165,554,572,578,627,731,753,836,837,838,839,883",https://ehrafworldcultures.yale.edu/sres/9be7934a-a9e9-478b-a029-1ab22151e5c7
57ff24ef-6952-439e-8f74-07a1691e9038,"Chagnon, Napoleon A., 1938-","Yanomamö warfare, social organization and marriage
         alliances",1967,63,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"115,164,165,554,572,578,627,731,753,836,837,838,839,883",https://ehrafworldcultures.yale.edu/sres/57ff24ef-6952-439e-8f74-07a1691e9038
6906c5f6-c505-416d-b6ab-e938d156d3bd,"Chagnon, Napoleon A., 1938-","Yanomamö warfare, social organization and marriage
         alliances",1967,221,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"113,411,526,541,579,627",https://ehrafworldcultures.yale.edu/sres/6906c5f6-c505-416d-b6ab-e938d156d3bd
65496db5-77e7-4237-84ba-bcb4d390dd57,"Hames, Raymond B.",Culture summary: Yanoama,1995,6,Manuscript,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"554,613,621,622,627",https://ehrafworldcultures.yale.edu/sres/65496db5-77e7-4237-84ba-bcb4d390dd57
e5797ff5-bd8f-4b05-9755-3b14ab373165,"Hames, Raymond B.",Culture summary: Yanoama,1995,6,Manuscript,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"361,578,627,628,721,726",https://ehrafworldcultures.yale.edu/sres/e5797ff5-bd8f-4b05-9755-3b14ab373165
60208010-b52c-4c35-ba80-d63f40e0cee1,"Wilbert, Johannes",The Sanema,1963,56,"Component part(s), monograph",Yanoama,South America,Amazon and Orinoco,horticulturalists,,"411,627",https://ehrafworldcultures.yale.edu/sres/60208010-b52c-4c35-ba80-d63f40e0cee1
b56e2d9d-7a5f-4622-beee-9ac7659a5514,"Wilbert, Johannes",The Sanema,1963,90,"Component part(s), monograph",Yanoama,South America,Amazon and Orinoco,horticulturalists,,"584,627",https://ehrafworldcultures.yale.edu/sres/b56e2d9d-7a5f-4622-beee-9ac7659a5514
07dc53e0-b387-4887-afe9-cda79bcc7f1a,"Wilbert, Johannes",The Sanema,1963,90,"Component part(s), monograph",Yanoama,South America,Amazon and Orinoco,horticulturalists,,"584,627",https://ehrafworldcultures.yale.edu/sres/07dc53e0-b387-4887-afe9-cda79bcc7f1a
f62d0b95-82f4-47aa-933d-41c8469e8522,"Chagnon, Napoleon A., 1938-",Yanomamö: the fierce people,1968,83,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"301,304,578,684,797",https://ehrafworldcultures.yale.edu/sres/f62d0b95-82f4-47aa-933d-41c8469e8522
d14bc74f-ab83-4d71-a4a3-9f2124c7abcd,"Chagnon, Napoleon A., 1938-",Yanomamö: the fierce people,1968,119,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"411,562,578,593,685",https://ehrafworldcultures.yale.edu/sres/d14bc74f-ab83-4d71-a4a3-9f2124c7abcd
5e8bcf06-f32a-423e-97a5-69ce00aa2d5f,"Chagnon, Napoleon A., 1938-",Yanomamö: the fierce people,1968,119,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"411,578,684",https://ehrafworldcultures.yale.edu/sres/5e8bcf06-f32a-423e-97a5-69ce00aa2d5f
c8ec30db-21f5-4738-8ca5-d426a412ba9a,"Chagnon, Napoleon A., 1938-",Yanomamö: the fierce people,1968,120,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"164,302,622,684",https://ehrafworldcultures.yale.edu/sres/c8ec30db-21f5-4738-8ca5-d426a412ba9a
544036bf-3c6f-4428-81ef-e0e5455bd5bf,"Chagnon, Napoleon A., 1938-",Yanomamö: the fierce people,1968,123,Monograph,Yanoama,South America,Amazon and Orinoco,horticulturalists,,"245,685,721",https://ehrafworldcultures.yale.edu/sres/544036bf-3c6f-4428-81ef-e0e5455bd5bf
