uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
21776a36-9ab0-4668-b1f0-9563df8b1144,"Baba of Karo, 1877-1951","Baba of Karo, a woman of the Muslim Hausa",1954,183,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"159,685,696",https://ehrafworldcultures.yale.edu/sres/21776a36-9ab0-4668-b1f0-9563df8b1144
05920de4-dc4e-4b5c-a280-a719a51b4c31,"Smith, M. G. (Michael Garfield)",The affairs of Daura,1978,225,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"173,651,681,682,696,712",https://ehrafworldcultures.yale.edu/sres/05920de4-dc4e-4b5c-a280-a719a51b4c31
e66291a1-7441-47e1-8d46-3eaee635675c,"Works, John A., 1944-",Pilgrims in a strange land: Hausa communities in Chad,1976,199,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"443,463,466,554,626,685",https://ehrafworldcultures.yale.edu/sres/e66291a1-7441-47e1-8d46-3eaee635675c
2f7bd08c-26b1-4334-94a4-8c4e5791b943,"Cohen, Abner","Custom & politics in urban Africa: a study of Hausa
         migrants in Yoruba towns",1969,172,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"622,626,681",https://ehrafworldcultures.yale.edu/sres/2f7bd08c-26b1-4334-94a4-8c4e5791b943
c1848e21-4d6e-413a-a0a8-5bd7073322f2,"Cohen, Abner","Custom & politics in urban Africa: a study of Hausa
         migrants in Yoruba towns",1969,172,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"427,443,622,626,681",https://ehrafworldcultures.yale.edu/sres/c1848e21-4d6e-413a-a0a8-5bd7073322f2
a017ad4d-6b48-47c8-bf03-5bed49fc7b57,"Cohen, Abner","Custom & politics in urban Africa: a study of Hausa
         migrants in Yoruba towns",1969,175,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"621,626,681",https://ehrafworldcultures.yale.edu/sres/a017ad4d-6b48-47c8-bf03-5bed49fc7b57
54f132e5-2c19-4b15-ad5d-cb797d4f90ad,"Cohen, Abner","Custom & politics in urban Africa: a study of Hausa
         migrants in Yoruba towns",1969,127,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"578,626,689",https://ehrafworldcultures.yale.edu/sres/54f132e5-2c19-4b15-ad5d-cb797d4f90ad
b8a7fbaf-b64d-400c-ab0e-0767c228798f,"Faulkingham, Ralph Harold, 1943-",Political support in a Hausa village,1971,111,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"623,624,626,681,754,787,791,795",https://ehrafworldcultures.yale.edu/sres/b8a7fbaf-b64d-400c-ab0e-0767c228798f
f4a606d0-c4f7-4e1c-9bee-6f68910592a8,"Cohen, Abner","Custom & politics in urban Africa: a study of Hausa
         migrants in Yoruba towns",1969,83,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"451,452,453,456,472,621,622,627,675,685,692,698",https://ehrafworldcultures.yale.edu/sres/f4a606d0-c4f7-4e1c-9bee-6f68910592a8
30dfc5e7-faef-4a19-9e50-a0b67d95664c,"Faulkingham, Ralph Harold, 1943-",Political support in a Hausa village,1971,65,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"627,681",https://ehrafworldcultures.yale.edu/sres/30dfc5e7-faef-4a19-9e50-a0b67d95664c
1b7ef971-c241-45fc-b3b4-81031e470e04,"Baba of Karo, 1877-1951","Baba of Karo, a woman of the Muslim Hausa",1954,63,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"159,548,644,651,696",https://ehrafworldcultures.yale.edu/sres/1b7ef971-c241-45fc-b3b4-81031e470e04
1f097cc1-d5e8-4c27-ae9a-05e0f0f081a8,"Hassan, Malam",A chronicle of Abuja,1952,10,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"133,175,438,563,696",https://ehrafworldcultures.yale.edu/sres/1f097cc1-d5e8-4c27-ae9a-05e0f0f081a8
dcfbe6d7-6a05-480a-9919-ae3ea7f01e44,"Hassan, Malam",A chronicle of Abuja,1952,11,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"133,175,696",https://ehrafworldcultures.yale.edu/sres/dcfbe6d7-6a05-480a-9919-ae3ea7f01e44
fbac1b38-7dd9-4bac-a176-c2db0ef8edeb,"Hassan, Malam",A chronicle of Abuja,1952,80,Monograph,Hausa,Africa,Western Africa,other subsistence combinations,,"644,696",https://ehrafworldcultures.yale.edu/sres/fbac1b38-7dd9-4bac-a176-c2db0ef8edeb
