uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
d9d86f27-12e2-492c-9949-0d55f34cd8aa,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,219,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"486,626,627,681",https://ehrafworldcultures.yale.edu/sres/d9d86f27-12e2-492c-9949-0d55f34cd8aa
b8a58107-5a25-487d-9f9c-4d87c03465b9,"Nordenskiöld, Erland, 1877-1932","An historical and ethnological survey of the Cuna
         Indians",1938,43,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"622,626,627,682,685,762",https://ehrafworldcultures.yale.edu/sres/b8a58107-5a25-487d-9f9c-4d87c03465b9
e0585f78-1eaf-42a2-bb86-f4f076164247,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,23,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"178,626,627",https://ehrafworldcultures.yale.edu/sres/e0585f78-1eaf-42a2-bb86-f4f076164247
d94629bc-d4e0-476e-97ee-2ae896c036c8,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,67,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"533,622,626,627",https://ehrafworldcultures.yale.edu/sres/d94629bc-d4e0-476e-97ee-2ae896c036c8
e05ff4e6-a19f-4e50-888e-c7fe9b357b46,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,220,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"626,627",https://ehrafworldcultures.yale.edu/sres/e05ff4e6-a19f-4e50-888e-c7fe9b357b46
55e3f561-8e26-4c5b-b8a1-8ccf135e0ad9,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,223,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"183,626,627",https://ehrafworldcultures.yale.edu/sres/55e3f561-8e26-4c5b-b8a1-8ccf135e0ad9
e0fbfad5-e28f-4cff-bbad-7a2f260355d5,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,229,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"562,623,626,627",https://ehrafworldcultures.yale.edu/sres/e0fbfad5-e28f-4cff-bbad-7a2f260355d5
6b3278c0-837e-4266-a7f4-0d97ead577a4,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,230,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"562,623,626,627",https://ehrafworldcultures.yale.edu/sres/6b3278c0-837e-4266-a7f4-0d97ead577a4
420eb052-9a59-4528-973c-97b6d17b4ab2,"Sherzer, Joel",Kuna ways of speaking: an ethnographic perspective,1983,200,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"577,623,626,627",https://ehrafworldcultures.yale.edu/sres/420eb052-9a59-4528-973c-97b6d17b4ab2
3f8c22e7-c187-4e4d-9dde-3708cb91dc11,"Sherzer, Joel",Kuna ways of speaking: an ethnographic perspective,1983,201,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"577,579,626,627,861,877",https://ehrafworldcultures.yale.edu/sres/3f8c22e7-c187-4e4d-9dde-3708cb91dc11
b25d3480-b7dc-444e-99ae-01fb4d008ad3,"Sherzer, Joel",Kuna ways of speaking: an ethnographic perspective,1983,201,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"577,626,627",https://ehrafworldcultures.yale.edu/sres/b25d3480-b7dc-444e-99ae-01fb4d008ad3
82e0661e-33be-4b31-9034-32cebe499e69,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,88,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"622,626,684",https://ehrafworldcultures.yale.edu/sres/82e0661e-33be-4b31-9034-32cebe499e69
01606f0b-c46b-4edb-8bc9-bebcf6914b5a,"Holloman, Regina",Developmental change in San Blas,1969,-248-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"623,626,684",https://ehrafworldcultures.yale.edu/sres/01606f0b-c46b-4edb-8bc9-bebcf6914b5a
ad0503ec-3f47-4d17-807e-606a635028d3,"Holloman, Regina",Developmental change in San Blas,1969,-249-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"625,626,684,689,861",https://ehrafworldcultures.yale.edu/sres/ad0503ec-3f47-4d17-807e-606a635028d3
373e296a-8da0-4a7b-b277-a67448e20f04,"Holloman, Regina",Developmental change in San Blas,1969,-249-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"626,681",https://ehrafworldcultures.yale.edu/sres/373e296a-8da0-4a7b-b277-a67448e20f04
4fc9365d-60ed-4e77-9185-385b3ff9333b,"Holloman, Regina",Developmental change in San Blas,1969,-250-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"623,626,686",https://ehrafworldcultures.yale.edu/sres/4fc9365d-60ed-4e77-9185-385b3ff9333b
8b5b4ab1-f5e1-4034-bcbc-52e6d40fae42,"Holloman, Regina",Developmental change in San Blas,1969,-252-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"626,681,684",https://ehrafworldcultures.yale.edu/sres/8b5b4ab1-f5e1-4034-bcbc-52e6d40fae42
941a13d4-3a9c-4560-b9e6-42b773da9549,"Marshall, Donald Stanley","Cuna folk: a conceptual scheme involving the dynamic factors
         of culture, as applied to the Cuna Indians of Darien",9999,142e,"Component part(s), monograph",Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"342,626,685",https://ehrafworldcultures.yale.edu/sres/941a13d4-3a9c-4560-b9e6-42b773da9549
baab0fe4-3d1a-4365-990a-dd80d704b1d7,"Tice, Karin E. (Karin Elaine), 1956-","Kuna crafts, gender, and the global economy",1995,175,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"484,486,592,623,626,686",https://ehrafworldcultures.yale.edu/sres/baab0fe4-3d1a-4365-990a-dd80d704b1d7
fe80daab-8211-4f25-929c-4cf291fcaa3b,"Tice, Karin E. (Karin Elaine), 1956-",Culture summary: Kuna,1999,9,Manuscript,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"592,626,681,692,697",https://ehrafworldcultures.yale.edu/sres/fe80daab-8211-4f25-929c-4cf291fcaa3b
0d269e41-950e-4595-8ddd-5c6c74c6b818,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,13,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"625,627,681",https://ehrafworldcultures.yale.edu/sres/0d269e41-950e-4595-8ddd-5c6c74c6b818
23c03bec-5e39-456e-8abf-b7671e945c61,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,200,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"183,623,627,684",https://ehrafworldcultures.yale.edu/sres/23c03bec-5e39-456e-8abf-b7671e945c61
a384042b-0363-4079-adad-2d7b18124b8e,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,200,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"183,623,627,684",https://ehrafworldcultures.yale.edu/sres/a384042b-0363-4079-adad-2d7b18124b8e
abf747f7-0f83-459e-8261-67103a3a5a62,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,219,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"114,178,627,685",https://ehrafworldcultures.yale.edu/sres/abf747f7-0f83-459e-8261-67103a3a5a62
ce3df3fd-bd76-41e3-870f-34631158a2ec,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,219,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"627,685",https://ehrafworldcultures.yale.edu/sres/ce3df3fd-bd76-41e3-870f-34631158a2ec
7e7161d9-21d4-42d8-a6bf-2e5736c4f80d,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,219,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"627,681",https://ehrafworldcultures.yale.edu/sres/7e7161d9-21d4-42d8-a6bf-2e5736c4f80d
9fc5e71f-23a5-493c-8727-8426fe8bbc5c,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,222,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"578,627,683",https://ehrafworldcultures.yale.edu/sres/9fc5e71f-23a5-493c-8727-8426fe8bbc5c
1f86376a-2432-40e8-8d81-62997b077ce8,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,222,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"578,627,683",https://ehrafworldcultures.yale.edu/sres/1f86376a-2432-40e8-8d81-62997b077ce8
ddcac31a-656a-434a-abef-c23d0b7397de,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,231,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"276,302,561,627,689,882,883",https://ehrafworldcultures.yale.edu/sres/ddcac31a-656a-434a-abef-c23d0b7397de
88bf9193-0b03-4c6b-a48d-17694136b3d4,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,233,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"622,627,661,681",https://ehrafworldcultures.yale.edu/sres/88bf9193-0b03-4c6b-a48d-17694136b3d4
f900b01d-f24b-4b8f-95bb-0c5a5351425b,"Howe, James, 1944-","The Kuna gathering: contemporary village politics in
         Panama",1986,234,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"623,627,681",https://ehrafworldcultures.yale.edu/sres/f900b01d-f24b-4b8f-95bb-0c5a5351425b
bdb35d8f-1f7e-45d3-9bc6-ffceb8c928b3,"Holloman, Regina",Developmental change in San Blas,1969,-256-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"623,627,685",https://ehrafworldcultures.yale.edu/sres/bdb35d8f-1f7e-45d3-9bc6-ffceb8c928b3
e2b5f8c6-c56b-4fb5-86a7-39426d8f3d03,"Holloman, Regina",Developmental change in San Blas,1969,-257-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"623,627,685",https://ehrafworldcultures.yale.edu/sres/e2b5f8c6-c56b-4fb5-86a7-39426d8f3d03
2d34e638-a5eb-43f0-8085-1aa7dc90b9d8,"Holloman, Regina",Developmental change in San Blas,1969,-257-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"623,627,685",https://ehrafworldcultures.yale.edu/sres/2d34e638-a5eb-43f0-8085-1aa7dc90b9d8
ecfad1e3-aa24-4ff0-9c7e-bf4b1ea15f8a,"Holloman, Regina",Developmental change in San Blas,1969,-257-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"623,627,681",https://ehrafworldcultures.yale.edu/sres/ecfad1e3-aa24-4ff0-9c7e-bf4b1ea15f8a
e4b6dbfa-2815-45b3-8b2e-40eb731bd5d9,"Holloman, Regina",Developmental change in San Blas,1969,-258-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"623,627,681",https://ehrafworldcultures.yale.edu/sres/e4b6dbfa-2815-45b3-8b2e-40eb731bd5d9
7935422d-a828-4243-adbb-d5537619cf24,"Holloman, Regina",Developmental change in San Blas,1969,-258-,Monograph,Kuna,Middle America and the Caribbean,Central America,horticulturalists,,"623,627,685",https://ehrafworldcultures.yale.edu/sres/7935422d-a828-4243-adbb-d5537619cf24
