uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
19d2fdcc-817d-4bb9-a6df-927cc67af37f,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,94,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"626,684",https://ehrafworldcultures.yale.edu/sres/19d2fdcc-817d-4bb9-a6df-927cc67af37f
17fe6219-5388-4483-b42d-7dad4997a1b0,"Page, Hugh R., Jr.",Culture summary: Khasi,1996,8,Manuscript,Khasi,Asia,South Asia,agro-pastoralists,,"578,626,681",https://ehrafworldcultures.yale.edu/sres/17fe6219-5388-4483-b42d-7dad4997a1b0
719a7d34-6b72-4b21-b1dd-2f20ec37483e,"Stegmiller, P. F.",The religious life of the Khasi,1921,50,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"000,626,775,823",https://ehrafworldcultures.yale.edu/sres/719a7d34-6b72-4b21-b1dd-2f20ec37483e
3abf79d8-41c8-4ad7-893f-d7b005f27d0f,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,30,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"177,342,354,627,776,784",https://ehrafworldcultures.yale.edu/sres/3abf79d8-41c8-4ad7-893f-d7b005f27d0f
c190b2f6-349c-40de-a5fe-fa2f3ddf8bc4,"Snaitang, O. L., 1952-","Christianity and social change in northeast India: a study of
         the role of Christianity in social change among the Khasi-Jaintia Hill tribes of
         Meghalaya",1993,28,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"592,614,619,688,771,776,793",https://ehrafworldcultures.yale.edu/sres/c190b2f6-349c-40de-a5fe-fa2f3ddf8bc4
94b0e282-d952-478f-bd69-adcf190fb4e0,"Stegmiller, P. F.",The religious life of the Khasi,1921,22,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"342,688,689,784",https://ehrafworldcultures.yale.edu/sres/94b0e282-d952-478f-bd69-adcf190fb4e0
74c5b38e-9a62-451e-a12f-812b9abfe623,"Hunter, William Wilson, Sir, 1840-1900",Statistical account of the Khasi and Jaintia Hills,1879,244,Essay,Khasi,Asia,South Asia,agro-pastoralists,,"178,584,674,683",https://ehrafworldcultures.yale.edu/sres/74c5b38e-9a62-451e-a12f-812b9abfe623
292e5edf-458c-42d7-81cc-36a9d184694a,"Snaitang, O. L., 1952-","Christianity and social change in northeast India: a study of
         the role of Christianity in social change among the Khasi-Jaintia Hill tribes of
         Meghalaya",1993,92,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"578,581,586,684,795,797",https://ehrafworldcultures.yale.edu/sres/292e5edf-458c-42d7-81cc-36a9d184694a
893f1486-2ff1-4b42-8d11-25909da2e075,"Snaitang, O. L., 1952-","Christianity and social change in northeast India: a study of
         the role of Christianity in social change among the Khasi-Jaintia Hill tribes of
         Meghalaya",1993,165,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"595,684,794,797",https://ehrafworldcultures.yale.edu/sres/893f1486-2ff1-4b42-8d11-25909da2e075
2d04005f-1a33-4876-a702-558ea4317e2d,"Nakane, Chie","Garo and Khasi: a comparative study in matrilineal
         systems",1967,34,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"361,423,622,648,686,692",https://ehrafworldcultures.yale.edu/sres/2d04005f-1a33-4876-a702-558ea4317e2d
27d33dec-9550-4339-b206-ebbd941d83a0,"Nakane, Chie","Garo and Khasi: a comparative study in matrilineal
         systems",1967,58,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"182,582,591,610,621,684",https://ehrafworldcultures.yale.edu/sres/27d33dec-9550-4339-b206-ebbd941d83a0
9510e049-c0fc-45b9-bf91-960734f98f3a,"Nakane, Chie","Garo and Khasi: a comparative study in matrilineal
         systems",1967,87,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"182,582,614,616,684",https://ehrafworldcultures.yale.edu/sres/9510e049-c0fc-45b9-bf91-960734f98f3a
cb60a848-7f9a-4846-967b-f20421ffe7e7,"Nakane, Chie","Garo and Khasi: a comparative study in matrilineal
         systems",1967,119,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"178,582,614,684",https://ehrafworldcultures.yale.edu/sres/cb60a848-7f9a-4846-967b-f20421ffe7e7
6dbf59ad-ba7a-4729-ab7d-4eb502b31228,"Becker, C.",The Nongkrem Puja in the Khasi Mountains (Assam),1909,8,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"688,782,796",https://ehrafworldcultures.yale.edu/sres/6dbf59ad-ba7a-4729-ab7d-4eb502b31228
f5009816-e4df-44c8-8400-639754da9c82,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,197,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"000,674,682,685,721",https://ehrafworldcultures.yale.edu/sres/f5009816-e4df-44c8-8400-639754da9c82
b79954bd-59a7-45bf-a48d-38ae0c7cb2fc,"Becker, C.",Family property and maternal rights,1924,5,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"421,425,688",https://ehrafworldcultures.yale.edu/sres/b79954bd-59a7-45bf-a48d-38ae0c7cb2fc
d19fd205-3646-4725-ba55-0e2954d4d84d,"Becker, C.",Family property and maternal rights,1924,6,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"613,682,688,782",https://ehrafworldcultures.yale.edu/sres/d19fd205-3646-4725-ba55-0e2954d4d84d
4e7434a2-eb52-4954-b576-215dac086632,"Becker, C.",Family property and maternal rights,1924,16,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"578,613,688",https://ehrafworldcultures.yale.edu/sres/4e7434a2-eb52-4954-b576-215dac086632
9ff289b7-e20a-49ec-8ef4-f8e191bfa32a,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,76,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"115,346,423,576,582,587,589,591,593,595,604,611,614,688,764,765,796",https://ehrafworldcultures.yale.edu/sres/9ff289b7-e20a-49ec-8ef4-f8e191bfa32a
6bd995d6-c540-49ae-ab46-f6721406fbff,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,82,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"425,428,542,562,593,611,688,764,796",https://ehrafworldcultures.yale.edu/sres/6bd995d6-c540-49ae-ab46-f6721406fbff
6b7cc9ff-300b-4e19-b663-7e7b8616d9fc,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,92,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"681,687,695,697,776,782",https://ehrafworldcultures.yale.edu/sres/6b7cc9ff-300b-4e19-b663-7e7b8616d9fc
1f759614-5e1a-4612-998d-69cb00b8c556,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,93,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"682,782",https://ehrafworldcultures.yale.edu/sres/1f759614-5e1a-4612-998d-69cb00b8c556
f47f5927-07bb-4b0f-b2a8-9f69c5c81b52,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,93,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"683,684,685",https://ehrafworldcultures.yale.edu/sres/f47f5927-07bb-4b0f-b2a8-9f69c5c81b52
c3a3942e-c08d-4dfe-b090-640978f2e9be,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,123,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"000,241,428,588,643,684,776,782,793,797",https://ehrafworldcultures.yale.edu/sres/c3a3942e-c08d-4dfe-b090-640978f2e9be
b6316fd3-fcd6-4521-8963-6dd617952437,"Gurdon, Philip Richard Thornhagh",The Khasis,1907,158,Monograph,Khasi,Asia,South Asia,agro-pastoralists,,"582,609,688,764,783,784",https://ehrafworldcultures.yale.edu/sres/b6316fd3-fcd6-4521-8963-6dd617952437
59f5bf9c-1ead-47c4-ae78-00da3f5dc748,"Roy, David",The place of the Khasi in the world,1938,129,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"582,684",https://ehrafworldcultures.yale.edu/sres/59f5bf9c-1ead-47c4-ae78-00da3f5dc748
8d67c35c-5e3b-4309-be2b-37ee3926acbc,"Stegmiller, P. F.",Sacrifice and sacrificial customs of the Khasi,1924,31,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"682,776,782",https://ehrafworldcultures.yale.edu/sres/8d67c35c-5e3b-4309-be2b-37ee3926acbc
d759cf7f-3322-460f-8229-64d2bb9e8e60,"Stegmiller, P. F.",Sacrifice and sacrificial customs of the Khasi,1924,34,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"123,682,776",https://ehrafworldcultures.yale.edu/sres/d759cf7f-3322-460f-8229-64d2bb9e8e60
5009ed90-baee-4c68-a6e8-a623f5e3f71d,"Stegmiller, P. F.",Sacrifice and sacrificial customs of the Khasi,1924,34,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"484,682",https://ehrafworldcultures.yale.edu/sres/5009ed90-baee-4c68-a6e8-a623f5e3f71d
736ab19c-16c1-44c1-85eb-e7203ade209b,"Stegmiller, P. F.",Sacrifice and sacrificial customs of the Khasi,1924,35,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"682,776",https://ehrafworldcultures.yale.edu/sres/736ab19c-16c1-44c1-85eb-e7203ade209b
3d2844f2-28f1-4c63-90f6-3f07d9c3750b,"Stegmiller, P. F.",Sacrifice and sacrificial customs of the Khasi,1924,38,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"682,776,783",https://ehrafworldcultures.yale.edu/sres/3d2844f2-28f1-4c63-90f6-3f07d9c3750b
327c5742-bdca-4fe3-894b-0d39650468b6,"Stegmiller, P. F.",Sacrifice and sacrificial customs of the Khasi,1924,38,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"682,776,783",https://ehrafworldcultures.yale.edu/sres/327c5742-bdca-4fe3-894b-0d39650468b6
eb9ffa01-2a6d-4818-92b4-402e6bd83c9e,"Stegmiller, P. F.",Sacrifice and sacrificial customs of the Khasi,1924,40,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"682,776,783",https://ehrafworldcultures.yale.edu/sres/eb9ffa01-2a6d-4818-92b4-402e6bd83c9e
c214d172-9c83-4ff0-bcdc-11164c037046,"Stegmiller, P. F.",Sacrifice and sacrificial customs of the Khasi,1924,40,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"682,782",https://ehrafworldcultures.yale.edu/sres/c214d172-9c83-4ff0-bcdc-11164c037046
d14ea08d-4ffb-4231-a88d-4105a811f26c,"Stegmiller, P. F.",Sacrifice and sacrificial customs of the Khasi,1924,42,Journal Article,Khasi,Asia,South Asia,agro-pastoralists,,"682,782",https://ehrafworldcultures.yale.edu/sres/d14ea08d-4ffb-4231-a88d-4105a811f26c
