uuid,offense_present
065cdc2e-b0a6-4e25-afc8-b041b360fac6,0
0677b756-0073-4f11-8801-a10e6c663c52,0
068bc683-77b6-4084-a704-2da84b2236f0,0
069d302e-25fc-46a3-9c38-6864e7cce502,0
069eecb5-fbff-4ff2-8902-2fefbbd3eddb,0
06c127fc-8045-49c7-a845-24cdbd491c7b,0
06c817db-90e4-45f1-9dee-cb9e75f5746a,0
06dc52fa-5c39-4313-a27c-2f25d880baa7,0
070761a5-ca9d-4e74-88fe-2125f7ebc72b,0
071a812a-5789-4857-9800-1a42570f592b,0
07256e84-4b3d-450d-9b2d-e44234e2f72e,0
072692e6-d291-43e5-acfa-7a43e5582588,0
073f8769-bf3d-4fcc-8928-fd9d608cfcbc,0
0745326a-de7a-4c14-826b-a4c4bedbb6f7,0
07539d0a-7b12-42c1-acda-0b9d6a85293e,0
0754e229-6190-4833-a5ba-f0680917db00,0
075d2f36-6d6d-4038-8495-3ec244722b95,0
0788c261-88db-4198-910c-164ed53f0002,0
0792b70e-42de-49c9-bbbd-7fcae895f1b3,0
07a1bce5-9858-4a23-82e7-6b727d5ff3b0,0
07afefec-9712-42f6-91eb-e9a0f0d4d8ae,0
07d110b3-4728-4c06-b3ed-ac59113e41a6,0
07d446ff-7583-4732-bd3f-594410f065fa,0
07d526f3-f2e0-4e9a-b9d7-efd70dd3cb3e,0
07d8d70a-efb7-41c9-88ea-198a1a4203c7,0
07ef7830-c02d-4265-b462-f860b4520816,0
07f663cc-939c-411d-8d8f-91319b0dd7dd,0
0804944d-647e-495f-849d-f09cff177748,0
08099ae0-c61f-464e-a144-b4fe719522b3,0
080de07f-5765-4646-a550-eaf20f9e23a8,0
08396ac0-e53e-43d2-914f-f8b49c8cc422,0
08477294-7d40-4e7b-8590-2d4ac98ceace,0
0873d39d-9338-4ea4-b31a-2115fb39b0a3,0
0886e77f-9573-4f72-a6b0-74525c9f392c,0
0893de95-f5f3-4acc-852f-dcdd166dd767,0
08988da1-30ea-4048-a6f6-428acf8829a8,0
08aeb141-4384-4997-8bce-77697848d82a,0
08bb8013-de67-4881-ac2f-47f0981a2739,0
08be446b-98b5-4f97-af9f-b75b3bef4774,0
08ce4867-8e71-4637-8412-681d0a87978a,0
08e0311e-b13a-49d9-974f-51ee9959d6eb,0
08e0f322-f989-4c7a-b9ed-da9744197429,0
08e3b7db-5405-4765-8d4d-a104bfda8fdf,0
08ec2053-b275-45ae-9e54-d8df34908720,0
090052da-f345-4df8-9d82-95912c3c4481,0
0922102a-ba8d-4c8a-8609-c7448ab4b28f,0
0934937d-7977-46e9-a96a-cd698e8e05e2,0
093f3734-0437-4356-aa1e-f0fabfb529aa,0
0944b13e-2e9e-4f3c-a4e3-ae3f303102b0,0
095953a5-5d8b-4f42-a649-ac88e69bace6,0
0964805b-b2d9-4ee8-b400-36eb8588ebdd,0
096d70e7-17ff-4dd1-a1b9-e99f007bb67a,0
0990a819-b5c3-4445-86f3-889355f2e998,0
09c315dc-163b-4b3d-af9a-f0da90e67fa8,0
09d5e425-d686-447c-bc02-646233b5ed37,0
0a11fab3-faa1-4968-99ca-6cdb6105ae5f,0
0a137023-6f1d-4b4e-ba97-6a10f8518dab,0
0a6e76fc-3056-4523-a1d3-a9b1b5cd5632,0
0a7516b4-3826-44e6-88ba-a92f6ee23e4b,0
0a767746-f227-48d3-a124-aafdcdaa5940,0
0a768728-0b8e-479e-9984-a23ee38862bd,0
0aad081b-7739-40d4-90e9-33908597f1ab,0
0ab69bc9-8701-47f9-86bc-dd7fcd7bcbcd,0
0abaab44-4ca4-4dc2-8c21-92a8131af1a4,0
0ac90ebd-05ea-4a44-9a4d-51258c692927,0
0acc185c-eefb-4e6c-87d7-526f20793a89,0
0ad9c407-bd84-44d7-b18f-001cbdcdb37b,0
