uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink
444a7891-d37c-4f3e-97e0-d827634e4c83,"Meskill, Johanna Margarete Menzel,
         1930-","A Chinese pioneer family: the Lins of Wu-feng, Taiwan,
         1729-1895",1979,150,Monograph,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"000,578,613,669,687,696",https://ehrafworldcultures.yale.edu/sres/444a7891-d37c-4f3e-97e0-d827634e4c83
fdf82bd3-b020-4b13-aaca-5cd4c12401bc,"Wolf, Margery",The house of Lim: a study of a Chinese farm family,1968,48,Monograph,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"159,548,596,626,627",https://ehrafworldcultures.yale.edu/sres/fdf82bd3-b020-4b13-aaca-5cd4c12401bc
5fbd7d3e-2ccf-45ef-a72e-2f5f4b0bccce,"Wolf, Margery",The house of Lim: a study of a Chinese farm family,1968,48,Monograph,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"159,548,596,626,627",https://ehrafworldcultures.yale.edu/sres/5fbd7d3e-2ccf-45ef-a72e-2f5f4b0bccce
ed33380e-f35d-42b5-bade-d8495a1eb4b7,"Barnett, William Kester","An ethnographic description of Sanlei Ts'un, Taiwan, with
         emphasis on women's roles: overcoming research problems caused by the presence of a great
         tradition",1971,323,Monograph,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"561,573,626,627,660",https://ehrafworldcultures.yale.edu/sres/ed33380e-f35d-42b5-bade-d8495a1eb4b7
9a0ba96e-9631-4b3a-b6c0-bd996d51b26a,"Gallin, Bernard",Mediation in changing Chinese society in rural Taiwan,1967,86,Journal Article,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"178,621,626,627",https://ehrafworldcultures.yale.edu/sres/9a0ba96e-9631-4b3a-b6c0-bd996d51b26a
6abe3d12-99d3-4fd4-8353-050f03bf7487,"Seaman, Gary, 1942-",Temple organization in a Chinese village,1974,45,Monograph,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"575,627,682",https://ehrafworldcultures.yale.edu/sres/6abe3d12-99d3-4fd4-8353-050f03bf7487
8525b01e-2bfe-4068-b66f-a26d1b717acc,"Gallin, Bernard",Mediation in changing Chinese society in rural Taiwan,1967,88,Journal Article,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"627,683,685,692",https://ehrafworldcultures.yale.edu/sres/8525b01e-2bfe-4068-b66f-a26d1b717acc
010295e3-a714-4166-83a4-f0b0995963e8,"Gallin, Bernard",Mediation in changing Chinese society in rural Taiwan,1967,88,Journal Article,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"627,683,685,692",https://ehrafworldcultures.yale.edu/sres/010295e3-a714-4166-83a4-f0b0995963e8
af39c850-2494-4850-b5bb-0eb5c576420b,"Gallin, Bernard",Mediation in changing Chinese society in rural Taiwan,1967,88,Journal Article,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"627,683,685,692",https://ehrafworldcultures.yale.edu/sres/af39c850-2494-4850-b5bb-0eb5c576420b
203ca893-a980-4004-a013-fc1f3f9a0f2a,"Gallin, Bernard",Mediation in changing Chinese society in rural Taiwan,1967,89,Journal Article,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"627,683,685,692",https://ehrafworldcultures.yale.edu/sres/203ca893-a980-4004-a013-fc1f3f9a0f2a
